response_id,survey_name,survey_group,response_date,response_month,county,sub_county,organization,facility_name,facility_ownership,gender,age_group,education_level,marital_status,user_type,satisfaction,access_challenge,equipment_adequate,confidentiality,rights_awareness,comfortable_at_facility,counseled,sentiment_score,sentiment_label,themes,snippet,positive_text,concern_text,improvement_text,access_text,highlight_text,additional_text,mental_challenges,mental_support_sought,mental_network_response,mental_support_needed
211.0,App quality feedback,Digital experience,2023-04-03 21:51:12,2023-04,Uasin Gishu,Kesses,,Unknown,Unknown,Female,31 to 55,Unknown,Unknown,Peer Monitor/ Educator,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Mixed / Neutral,,,,,,,,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,35-44,Secondary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.8834,Positive,"staff_attitude, medicines_supplies, food_transport_support, access_cost",Limited nutritional supplements,Friendly staff and good services,Limited nutritional supplements,Supply plumpy nuts and fortified flour to the children,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Male,65+,Vocational training or technician,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9531,Positive,"staff_attitude, food_transport_support, equipment_space, confidentiality_stigma, access_cost",Limited CCC space,Friendly staff and good services,Limited CCC space,Improve disclosure system,Support clients with food and transport allowance support,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,45-54,Nursery/Pre-school,Polygamous,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9337,Positive,"staff_attitude, medicines_supplies, food_transport_support, confidentiality_stigma, access_cost",Lack of nutritional supplements for the PLHIVs,Friendly staff and good services,Lack of nutritional supplements for the PLHIVs,Improve disclosure system,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,35-44,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.872,Positive,"staff_attitude, medicines_supplies, food_transport_support, access_cost",Lack of nutritional supplements for the PLHIVs,Friendly staff and good services,Lack of nutritional supplements for the PLHIVs,Supply plumpy nuts and fortified flour,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,45-54,Secondary school,Polygamous,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.8481,Positive,"staff_attitude, medicines_supplies, food_transport_support, access_cost",Lack of nutritional supplements for the PLHIVs,Friendly staff and good services,Lack of nutritional supplements for the PLHIVs,Support clients with food and transport allowance,Support clients with transport,,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,35-44,Secondary school,Single,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.8834,Positive,"staff_attitude, food_transport_support, equipment_space, access_cost",Limited CCC space,Friendly staff and good services,Limited CCC space,Supply plumpy nuts and fortified flour,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Male,45-54,Primary school,Polygamous,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.872,Positive,"staff_attitude, medicines_supplies, food_transport_support, access_cost",Lack of nutritional supplements for the PLHIVs,Friendly staff and good services,Lack of nutritional supplements for the PLHIVs,Supply plumpy nuts and fortified flour,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,45-54,Primary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.872,Positive,"staff_attitude, medicines_supplies, food_transport_support, access_cost",Lack of nutritional supplements for the PLHIVs,Friendly staff and good services,Lack of nutritional supplements for the PLHIVs,Supply plumpy nuts and fortified flour,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,45-54,Primary school,Polygamous,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9382,Positive,"staff_attitude, food_transport_support, equipment_space, confidentiality_stigma, access_cost",Limited CCC space,Friendly staff and good services,Limited CCC space,Improve disclosure system,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Male,35-44,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9337,Positive,"staff_attitude, medicines_supplies, food_transport_support, confidentiality_stigma, access_cost",Lack of nutritional supplements,Friendly staff and good services,Lack of nutritional supplements,Improve disclosure system,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Female,35-44,Secondary school,Single,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9313,Positive,"staff_attitude, food_transport_support, equipment_space, access_cost",Limited CCC space,Friendly staff and good services,Limited CCC space,Increase CCC space,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
